,movie,year,imdb,metascore,votes
1434,Paranormal Activity: The Ghost Dimension,(2015),4.6,30        ,"27,533"
1435,Masaan,(2015),8.1,,"27,339"
1436,Mistress America,(2015),6.7,75        ,"26,904"
1437,Tamasha,(2015),7.4,,"26,884"
1438,A Walk in the Woods,(2015),6.3,51        ,"26,883"
1439,Knight of Cups,(2015),5.6,53        ,"26,874"
1440,Max,(I) (2015),6.7,47        ,"26,781"
1441,Fathers & Daughters,(2015),7.0,31        ,"26,308"
1442,Remember,(I) (2015),7.5,52        ,"25,073"
1443,Gabbar Is Back,(2015),7.2,,"24,734"
1444,Love the Coopers,(2015),5.8,31        ,"23,984"
1445,Badlapur,(2015),7.5,,"23,570"
1446,Ricki and the Flash,(2015),6.0,54        ,"23,392"
1447,Bakemono no ko,(2015),7.6,65        ,"23,368"
1448,Mississippi Grind,(2015),6.4,77        ,"22,989"
1449,Little Boy,(2015),7.4,30        ,"22,919"
1450,Detective Byomkesh Bakshy!,(2015),7.8,,"22,860"
1451,Bilal: A New Breed of Hero,(2015),7.9,52        ,"22,651"
1452,El abrazo de la serpiente,(2015),7.8,82        ,"22,576"
1453,Spooks: The Greater Good,(2015),6.2,47        ,"22,546"
1454,Jane Got a Gun,(2015),5.9,49        ,"22,317"
1455,Our Brand Is Crisis,(2015),6.1,53        ,"22,125"
1456,A Perfect Day,(I) (2015),6.8,60        ,"21,968"
1457,Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F',(2015),7.3,,"21,961"
1458,Prem Ratan Dhan Payo,(2015),4.5,,"21,754"
1459,February,(I) (2015),5.9,68        ,"21,710"
1460,Barely Lethal,(2015),5.4,44        ,"21,535"
1461,Hidden,(I) (2015),6.4,,"21,371"
1462,I,(2015),7.5,,"20,839"
1463,By the Sea,(2015),5.3,44        ,"20,698"
1464,Kidnapping Mr. Heineken,(2015),6.1,33        ,"20,678"
1465,Into the Forest,(2015),5.8,59        ,"20,512"
1466,"Hello, My Name Is Doris",(2015),6.6,63        ,"20,429"
1467,The Gallows,(2015),4.2,30        ,"20,423"
1468,Premam,(2015),8.3,,"20,184"
1469,He Never Died,(2015),6.4,72        ,"20,064"
1470,Suburra,(2015),7.4,,"20,045"
1471,Truth,(I) (2015),6.8,66        ,"19,968"
1472,The Vatican Tapes,(2015),4.8,38        ,"19,944"
1473,Ali Baba ve 7 Cüceler,(2015),5.8,,"19,897"
1474,Tian jiang xiong shi,(2015),5.9,41        ,"19,761"
1475,Dum Laga Ke Haisha,(2015),7.5,,"19,578"
1476,Thani Oruvan,(2015),8.5,,"19,498"
1477,Tracers,(2015),5.6,45        ,"19,322"
1478,Alvin and the Chipmunks: The Road Chip,(2015),5.0,33        ,"19,207"
1479,Southbound,(2015),5.9,58        ,"19,046"
1480,The Devil's Candy,(2015),6.4,72        ,"18,977"
1481,Manjhi: The Mountain Man,(2015),8.0,,"18,940"
1482,Miss You Already,(2015),6.8,59        ,"18,648"
1483,We Are Still Here,(I) (2015),5.7,65        ,"18,520"
1484,Experimenter,(2015),6.6,81        ,"18,412"
1485,Bizim Hikaye,(2015),9.0,,"18,038"
1486,The Program,(II) (2015),6.5,53        ,"17,564"
1487,Deathgasm,(2015),6.3,65        ,"17,288"
1488,Pay the Ghost,(2015),5.1,23        ,"17,260"
1489,Dil Dhadakne Do,(2015),7.0,,"17,237"
1490,Maggie's Plan,(2015),6.2,76        ,"17,030"
1491,Extinction,(2015),5.8,46        ,"16,962"
1492,The Survivalist,(2015),6.4,80        ,"16,954"
1493,The Overnight,(2015),6.1,65        ,"16,882"
1494,Ci ke Nie Yin Niang,(2015),6.3,80        ,"16,713"
