,movie,year,imdb,metascore,votes
1768,Kong: Skull Island,(2017),6.7,62        ,"309,125"
1769,Beauty and the Beast,(I) (2017),7.1,65        ,"299,511"
1770,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,39        ,"293,797"
1771,Lady Bird,(2017),7.4,93        ,"276,785"
1772,Alien: Covenant,(2017),6.4,65        ,"273,576"
1773,The Greatest Showman,(2017),7.6,48        ,"270,186"
1774,Call Me by Your Name,(2017),7.9,93        ,"255,254"
1775,War for the Planet of the Apes,(2017),7.4,82        ,"248,625"
1776,Murder on the Orient Express,(2017),6.5,52        ,"242,589"
1777,Wind River,(2017),7.7,73        ,"241,547"
1778,The Fate of the Furious,(2017),6.6,56        ,"225,947"
1779,Life,(I) (2017),6.6,54        ,"223,846"
1780,The Hitman's Bodyguard,(2017),6.9,47        ,"223,765"
1781,Mother!,(2017),6.6,75        ,"216,013"
1782,King Arthur: Legend of the Sword,(2017),6.7,41        ,"211,635"
1783,Ghost in the Shell,(2017),6.3,52        ,"211,175"
1784,"I, Tonya",(2017),7.5,77        ,"207,789"
1785,Darkest Hour,(2017),7.4,75        ,"195,176"
1786,Atomic Blonde,(2017),6.7,63        ,"189,253"
1787,Bright,(I) (2017),6.3,29        ,"184,674"
1788,The Mummy,(2017),5.4,34        ,"183,296"
1789,Baywatch,(2017),5.5,37        ,"181,141"
1790,Valerian and the City of a Thousand Planets,(2017),6.5,51        ,"177,315"
1791,American Made,(2017),7.1,65        ,"173,968"
1792,Molly's Game,(2017),7.4,71        ,"164,568"
1793,Wonder,(I) (2017),7.9,66        ,"159,340"
1794,The Disaster Artist,(2017),7.3,76        ,"150,079"
1795,The Post,(2017),7.2,83        ,"147,941"
1796,Transformers: The Last Knight,(2017),5.2,27        ,"147,627"
1797,The Killing of a Sacred Deer,(2017),7.0,73        ,"146,422"
1798,Logan Lucky,(2017),7.0,78        ,"146,101"
1799,The Lego Batman Movie,(2017),7.3,75        ,"144,989"
1800,The Dark Tower,(2017),5.6,34        ,"136,769"
1801,Happy Death Day,(2017),6.6,58        ,"134,909"
1802,The Big Sick,(2017),7.5,86        ,"132,357"
1803,Annabelle: Creation,(2017),6.5,62        ,"129,159"
1804,Despicable Me 3,(2017),6.3,49        ,"128,445"
1805,Phantom Thread,(2017),7.4,90        ,"128,095"
1806,The Boss Baby,(2017),6.3,50        ,"122,399"
1807,T2 Trainspotting,(2017),7.2,67        ,"122,021"
1808,What Happened to Monday,(2017),6.9,47        ,"119,678"
1809,Okja,(2017),7.3,75        ,"117,513"
1810,You Were Never Really Here,(2017),6.8,84        ,"116,392"
1811,Good Time,(2017),7.3,80        ,"115,765"
1812,Gifted,(2017),7.6,60        ,"112,636"
1813,The Foreigner,(I) (2017),7.0,55        ,"112,035"
1814,The Florida Project,(2017),7.6,92        ,"110,140"
1815,Downsizing,(2017),5.7,63        ,"107,865"
1816,Power Rangers,(2017),5.9,44        ,"106,687"
1817,Geostorm,(2017),5.3,21        ,"105,168"
1818,Gerald's Game,(2017),6.5,77        ,"104,363"
1819,Fifty Shades Darker,(2017),4.6,33        ,"99,939"
1820,The Death of Stalin,(2017),7.2,88        ,"99,894"
1821,The Ritual,(I) (2017),6.3,57        ,"93,488"
1822,Cars 3,(2017),6.7,59        ,"92,505"
1823,It Comes at Night,(2017),6.2,78        ,"91,457"
1824,The Circle,(I) (2017),5.3,43        ,"90,998"
1825,xXx: Return of Xander Cage,(2017),5.2,42        ,"90,910"
1826,Baahubali 2: The Conclusion,(2017),8.3,,"88,759"
1827,The Babysitter,(I) (2017),6.4,,"88,222"
1828,Going in Style,(2017),6.6,50        ,"83,938"
1829,All the Money in the World,(2017),6.8,72        ,"83,613"
1830,Shot Caller,(2017),7.3,59        ,"83,582"
1831,Death Note,(I) (2017),4.5,43        ,"83,267"
1832,Hostiles,(2017),7.2,65        ,"82,253"
1833,American Assassin,(2017),6.2,45        ,"80,174"
1834,Jigsaw,(I) (2017),5.7,39        ,"77,283"
1835,The Mountain Between Us,(2017),6.4,48        ,"73,886"
1836,Reis,(2017),1.6,,"73,243"
1837,Paddington 2,(2017),7.8,88        ,"72,574"
1838,Papillon,(I) (2017),7.2,51        ,"72,053"
1839,Daddy's Home 2,(2017),6.0,30        ,"71,309"
1840,A Dog's Purpose,(2017),7.2,43        ,"70,926"
1841,A Ghost Story,(2017),6.8,84        ,"69,970"
1842,Only the Brave,(2017),7.6,72        ,"66,182"
1843,Brawl in Cell Block 99,(2017),7.1,79        ,"64,955"
1844,The Snowman,(2017),5.1,23        ,"62,647"
1845,The Emoji Movie,(2017),3.3,12        ,"62,594"
1846,Pitch Perfect 3,(2017),5.8,40        ,"62,581"
1847,The Square,(2017),7.2,73        ,"61,898"
1848,1922,(2017),6.2,70        ,"61,266"
1849,The Beguiled,(2017),6.3,77        ,"56,748"
1850,Loving Vincent,(2017),7.8,62        ,"56,581"
1851,I Don't Feel at Home in This World Anymore,(2017),6.9,75        ,"56,354"
1852,Ferdinand,(2017),6.7,58        ,"55,353"
1853,Jungle,(I) (2017),6.7,48        ,"55,296"
1854,The Upside,(2017),7.0,46        ,"54,997"
1855,First Reformed,(2017),7.1,85        ,"54,871"
1856,Battle of the Sexes,(2017),6.7,73        ,"54,544"
1857,47 Meters Down,(2017),5.6,52        ,"53,795"
1858,Detroit,(2017),7.3,77        ,"52,432"
1859,The Space Between Us,(I) (2017),6.4,33        ,"52,113"
1860,Rough Night,(2017),5.2,51        ,"51,320"
1861,Before I Fall,(2017),6.4,58        ,"51,185"
1862,A Bad Moms Christmas,(2017),5.5,42        ,"49,762"
1863,Mudbound,(2017),7.4,85        ,"48,115"
1864,The Meyerowitz Stories (New and Selected),(2017),6.9,79        ,"47,802"
1865,To the Bone,(I) (2017),6.8,64        ,"47,651"
1866,CHIPS,(2017),6.0,28        ,"46,380"
1867,Flatliners,(2017),5.2,27        ,"46,284"
1868,War Machine,(2017),6.0,56        ,"45,857"
1869,Stronger,(I) (2017),6.9,76        ,"44,402"
1870,Raees,(2017),6.9,,"43,706"
1871,Suburbicon,(2017),5.7,42        ,"43,690"
1872,The House,(I) (2017),5.6,30        ,"43,574"
1873,The Zookeeper's Wife,(2017),7.0,57        ,"42,684"
1874,Cargo,(I) (2017),6.3,65        ,"42,573"
1875,Fist Fight,(2017),5.6,37        ,"42,271"
1876,Revenge,(II) (2017),6.4,81        ,"42,160"
1877,Ingrid Goes West,(2017),6.6,71        ,"40,923"
1878,Thoroughbreds,(2017),6.6,75        ,"40,896"
1879,The Endless,(I) (2017),6.5,80        ,"40,792"
1880,Verónica,(I) (2017),6.2,,"40,446"
1881,Rings,(2017),4.5,25        ,"40,190"
1882,The Wife,(I) (2017),7.2,77        ,"39,319"
1883,Cumali Ceber: Allah Seni Alsin,(2017),1.1,,"38,827"
1884,Ayla: The Daughter of War,(2017),8.5,,"38,722"
1885,"Everything, Everything",(2017),6.4,52        ,"37,707"
1886,"Roman J. Israel, Esq.",(2017),6.5,58        ,"37,318"
1887,Girls Trip,(2017),6.2,71        ,"37,140"
1888,Kidnap,(I) (2017),5.9,44        ,"36,615"
1889,Vikram Vedha,(2017),8.4,,"36,580"
1890,Time Trap,(2017),6.3,46        ,"36,186"
1891,Victoria & Abdul,(2017),6.8,58        ,"35,370"
1892,The Shack,(I) (2017),6.3,32        ,"35,248"
1893,Snatched,(2017),4.6,45        ,"35,213"
1894,Unlocked,(I) (2017),6.3,46        ,"34,328"
1895,Ghost Stories,(I) (2017),6.4,68        ,"34,011"
1896,The Discovery,(I) (2017),6.2,54        ,"33,766"
1897,Krym,(I) (2017),7.1,,"33,310"
1898,The Glass Castle,(2017),7.1,56        ,"33,112"
1899,Mersal,(2017),8.1,,"32,861"
1900,Nelyubov,(2017),7.6,86        ,"32,644"
1901,I Kill Giants,(2017),6.1,74        ,"32,321"
1902,Aus dem Nichts,(2017),7.1,65        ,"32,054"
1903,Sleepless,(III) (2017),5.6,34        ,"32,033"
1904,Home Again,(2017),5.8,41        ,"31,713"
1905,Thelma,(2017),7.0,74        ,"31,055"
1906,Borg McEnroe,(2017),6.9,63        ,"30,965"
1907,Gi-eok-ui bam,(2017),7.4,,"30,111"
1908,Disobedience,(2017),6.6,74        ,"29,965"
1909,Marrowbone,(2017),6.6,63        ,"29,958"
1910,God's Own Country,(2017),7.7,85        ,"29,717"
1911,Tiger Zinda Hai,(2017),6.0,,"28,426"
1912,Table 19,(2017),5.8,40        ,"28,326"
1913,Wonder Wheel,(2017),6.2,45        ,"28,300"
1914,Hindi Medium,(2017),7.9,,"27,807"
1915,Captain Underpants: The First Epic Movie,(2017),6.2,69        ,"27,679"
1916,Teströl és lélekröl,(2017),7.5,77        ,"27,109"
1917,Goodbye Christopher Robin,(2017),7.1,54        ,"27,073"
1918,The Book of Henry,(2017),6.6,31        ,"26,966"
1919,The Wall,(II) (2017),6.2,57        ,"26,614"
1920,The Current War,(2017),6.5,55        ,"26,583"
1921,Kaabil,(2017),7.2,,"26,430"
1922,El bar,(2017),6.3,,"26,047"
1923,Professor Marston and the Wonder Women,(2017),7.0,68        ,"25,914"
1924,The Ottoman Lieutenant,(2017),6.5,26        ,"25,545"
1925,The Lego Ninjago Movie,(2017),6.0,55        ,"25,423"
1926,Den 12. mann,(2017),7.3,70        ,"25,333"
1927,Last Flag Flying,(2017),6.9,65        ,"25,165"
1928,Una mujer fantástica,(2017),7.2,86        ,"25,005"
1929,Jolly LLB 2,(2017),7.3,,"24,912"
1930,Berlin Syndrome,(2017),6.2,70        ,"24,805"
1931,Creep 2,(2017),6.4,75        ,"24,724"
1932,The Breadwinner,(2017),7.7,78        ,"24,712"
1933,Aftermath,(IV) (2017),5.7,44        ,"24,401"
1934,Arjun Reddy,(2017),8.2,,"24,344"
1935,Secret Superstar,(2017),7.9,,"24,198"
1936,Cult of Chucky,(2017),5.2,69        ,"24,104"
1937,Marshall,(2017),7.3,66        ,"23,828"
1938,The Bye Bye Man,(2017),4.3,37        ,"23,661"
1939,Megan Leavey,(2017),7.1,66        ,"23,575"
1940,Crooked House,(2017),6.3,59        ,"23,489"
1941,Mom and Dad,(2017),5.5,59        ,"23,418"
1942,Leatherface,(2017),5.0,40        ,"23,236"
1943,Aile Arasinda,(2017),7.7,,"23,202"
1944,A Prayer Before Dawn,(2017),6.8,76        ,"23,044"
1945,Bareilly Ki Barfi,(2017),7.5,,"22,915"
1946,All Eyez on Me,(2017),5.8,38        ,"22,883"
1947,Kamera o tomeru na!,(2017),7.6,86        ,"22,852"
1948,2:22,(2017),5.7,,"22,810"
1949,Lucky,(I) (2017),7.3,80        ,"22,799"
1950,iBoy,(2017),5.9,50        ,"22,744"
1951,Taeksi woonjunsa,(2017),7.9,69        ,"22,718"
1952,Sand Castle,(2017),6.3,45        ,"22,692"
1953,Super Dark Times,(2017),6.6,75        ,"22,459"
1954,The Little Hours,(2017),5.8,69        ,"22,330"
1955,Breathe,(I) (2017),7.1,51        ,"22,031"
1956,Jeepers Creepers 3,(2017),3.9,,"21,883"
1957,Beyond Skyline,(2017),5.3,46        ,"21,628"
1958,6 Days,(I) (2017),6.2,36        ,"21,465"
1959,Smurfs: The Lost Village,(2017),6.0,40        ,"21,118"
1960,Little Evil,(2017),5.7,,"21,105"
1961,Tulip Fever,(2017),6.2,38        ,"20,761"
1962,Song to Song,(I) (2017),5.6,54        ,"20,711"
1963,Mayhem,(2017),6.4,62        ,"20,667"
1964,Toilet - Ek Prem Katha,(2017),7.3,,"20,615"
1965,Jab Harry Met Sejal,(2017),5.4,,"20,451"
1966,Chalard games goeng,(2017),7.6,,"20,350"
1967,Wish Upon,(2017),5.0,32        ,"20,346"
1968,The Super,(2017),5.5,47        ,"20,307"
1969,Wheelman,(2017),6.4,66        ,"20,062"
1970,Tubelight,(2017),4.0,,"19,975"
1971,Loving Pablo,(2017),6.3,42        ,"19,954"
1972,Newton,(2017),7.7,,"19,653"
1973,Hagane no renkinjutsushi,(2017),5.3,48        ,"19,574"
1974,Father Figures,(2017),5.5,22        ,"19,559"
1975,A Christmas Prince,(2017),5.8,,"19,424"
1976,Naked,(I) (2017),5.4,36        ,"19,285"
1977,Once Upon a Time in Venice,(2017),5.3,28        ,"19,279"
1978,Unicorn Store,(2017),5.5,44        ,"19,209"
1979,My Cousin Rachel,(2017),6.0,63        ,"19,162"
1980,My Friend Dahmer,(2017),6.2,68        ,"18,917"
1981,The Party,(I) (2017),6.5,73        ,"18,549"
1982,Security,(I) (2017),5.7,,"18,527"
1983,The Rider,(2017),7.4,92        ,"18,389"
1984,Toc Toc,(2017),6.8,,"18,331"
1985,First They Killed My Father,(2017),7.2,72        ,"18,046"
1986,12 Feet Deep,(2017),5.4,,"17,715"
1987,Hot Summer Nights,(2017),6.4,44        ,"17,706"
1988,Brad's Status,(2017),6.5,71        ,"17,688"
1989,Mugen no jûnin,(2017),6.8,72        ,"17,414"
1990,Der Hauptmann,(2017),7.3,67        ,"17,248"
1991,Columbus,(I) (2017),7.2,89        ,"17,074"
1992,Churchill,(2017),6.1,44        ,"16,941"
1993,Hangman,(II) (2017),5.2,31        ,"16,867"
1994,Sandy Wexler,(2017),5.2,40        ,"16,686"
1995,L'insulte,(2017),7.6,72        ,"16,672"
1996,Brigsby Bear,(2017),7.3,67        ,"16,573"
1997,Rememory,(2017),6.1,48        ,"16,514"
1998,Newness,(2017),6.3,50        ,"16,391"
1999,HHhH,(2017),6.4,,"16,340"
2000,Avengers: Infinity War,(2018),8.5,68        ,"1,002,218"
2001,Black Panther,(2018),7.3,88        ,"715,956"
2002,Deadpool 2,(2018),7.7,66        ,"549,384"
2003,Bohemian Rhapsody,(2018),8.0,49        ,"513,516"
2004,A Quiet Place,(2018),7.5,82        ,"503,823"
2005,Spider-Man: Into the Spider-Verse,(2018),8.4,87        ,"483,152"
2006,Venom,(2018),6.7,35        ,"461,775"
2007,Green Book,(2018),8.2,69        ,"459,927"
2008,Aquaman,(2018),6.9,55        ,"438,874"
2009,Ready Player One,(2018),7.4,64        ,"418,464"
2010,Ant-Man and the Wasp,(2018),7.0,70        ,"374,938"
2011,A Star Is Born,(2018),7.6,88        ,"371,417"
2012,Solo: A Star Wars Story,(2018),6.9,62        ,"328,881"
2013,Bird Box,(2018),6.6,51        ,"323,005"
2014,Mission: Impossible - Fallout,(2018),7.7,86        ,"319,571"
2015,Annihilation,(I) (2018),6.8,79        ,"311,146"
2016,Jurassic World: Fallen Kingdom,(2018),6.2,51        ,"295,461"
2017,Hereditary,(2018),7.3,87        ,"289,049"
2018,Incredibles 2,(2018),7.6,80        ,"283,311"
2019,Fantastic Beasts: The Crimes of Grindelwald,(2018),6.5,52        ,"257,651"
2020,BlacKkKlansman,(2018),7.5,83        ,"254,285"
2021,Game Night,(I) (2018),6.9,66        ,"228,179"
2022,Ocean's Eight,(2018),6.3,61        ,"210,901"
2023,Tomb Raider,(2018),6.3,48        ,"209,634"
2024,The Favourite,(2018),7.5,91        ,"193,778"
2025,First Man,(2018),7.3,84        ,"183,987"
2026,Red Sparrow,(2018),6.6,53        ,"181,938"
2027,Upgrade,(2018),7.5,67        ,"179,483"
2028,The Meg,(2018),5.6,46        ,"166,245"
2029,Crazy Rich Asians,(2018),6.9,74        ,"165,209"
2030,Isle of Dogs,(2018),7.8,82        ,"162,308"
2031,Rampage,(2018),6.1,45        ,"161,699"
2032,Bumblebee,(I) (2018),6.7,66        ,"158,639"
2033,Searching,(III) (2018),7.6,71        ,"158,478"
2034,Roma,(2018),7.7,96        ,"154,051"
2035,The Equalizer 2,(2018),6.7,50        ,"153,621"
2036,Ralph Breaks the Internet,(2018),7.0,71        ,"153,459"
2037,Halloween,(I) (2018),6.5,67        ,"144,758"
2038,A Simple Favor,(2018),6.8,67        ,"144,590"
2039,Bad Times at the El Royale,(2018),7.1,60        ,"144,462"
2040,Sicario: Day of the Soldado,(2018),7.1,61        ,"142,653"
2041,The Ballad of Buster Scruggs,(2018),7.3,79        ,"141,224"
2042,Vice,(I) (2018),7.2,61        ,"141,009"
2043,The Nun,(2018),5.3,46        ,"135,784"
2044,Maze Runner: The Death Cure,(2018),6.2,50        ,"132,649"
2045,The Mule,(2018),7.0,58        ,"132,229"
2046,Tag,(I) (2018),6.5,56        ,"129,651"
2047,The Predator,(2018),5.3,48        ,"126,158"
2048,Black Mirror: Bandersnatch,(2018),7.1,,"123,756"
2049,Mortal Engines,(2018),6.1,44        ,"122,569"
2050,Creed II,(2018),7.1,66        ,"120,239"
2051,Skyscraper,(2018),5.8,51        ,"119,356"
2052,Pacific Rim: Uprising,(2018),5.6,44        ,"114,827"
2053,The Commuter,(I) (2018),6.3,56        ,"113,307"
2054,"Love, Simon",(2018),7.6,72        ,"110,522"
2055,Den of Thieves,(2018),7.0,49        ,"106,949"
2056,Instant Family,(2018),7.3,57        ,"103,533"
2057,The Cloverfield Paradox,(2018),5.5,37        ,"103,068"
2058,To All the Boys I've Loved Before,(2018),7.1,64        ,"102,453"
2059,Overlord,(2018),6.6,60        ,"96,307"
2060,Widows,(2018),6.9,84        ,"95,605"
2061,Mamma Mia! Here We Go Again,(2018),6.6,60        ,"91,642"
2062,Andhadhun,(2018),8.2,,"88,666"
2063,Mary Poppins Returns,(2018),6.7,66        ,"86,247"
2064,Capharnaüm,(2018),8.4,75        ,"83,740"
2065,The Kissing Booth,(2018),6.0,,"81,090"
2066,Blockers,(2018),6.2,69        ,"78,174"
2067,12 Strong,(2018),6.5,54        ,"77,531"
2068,Mile 22,(2018),6.1,38        ,"77,451"
2069,The Spy Who Dumped Me,(2018),6.0,52        ,"76,191"
2070,Christopher Robin,(2018),7.2,60        ,"75,778"
2071,Sorry to Bother You,(2018),6.9,80        ,"75,017"
2072,Mandy,(I) (2018),6.5,81        ,"74,833"
2073,Eighth Grade,(2018),7.4,89        ,"73,557"
2074,Manbiki kazoku,(2018),7.9,93        ,"73,314"
2075,Suspiria,(I) (2018),6.7,64        ,"73,271"
2076,Robin Hood,(2018),5.3,32        ,"72,005"
2077,Johnny English Strikes Again,(2018),6.2,39        ,"72,004"
2078,The House That Jack Built,(2018),6.8,42        ,"71,874"
2079,The Christmas Chronicles,(2018),7.0,52        ,"71,271"
2080,Death Wish,(2018),6.3,31        ,"71,174"
2081,Beautiful Boy,(I) (2018),7.3,62        ,"70,946"
2082,Hotel Transylvania 3: Summer Vacation,(2018),6.3,54        ,"70,680"
2083,Outlaw King,(2018),6.9,59        ,"69,503"
2084,The Grinch,(2018),6.3,51        ,"67,703"
2085,Climax,(I) (2018),6.9,67        ,"64,590"
2086,Peppermint,(2018),6.5,29        ,"63,901"
2087,Fifty Shades Freed,(2018),4.5,31        ,"63,603"
2088,Les frères Sisters,(2018),6.9,78        ,"63,259"
2089,The First Purge,(2018),5.2,54        ,"62,450"
2090,Hunter Killer,(2018),6.6,43        ,"61,630"
2091,Beoning,(2018),7.5,90        ,"61,338"
2092,Hotel Mumbai,(2018),7.6,62        ,"61,333"
2093,Alpha,(II) (2018),6.7,63        ,"61,307"
2094,K.G.F: Chapter 1,(2018),8.5,,"61,086"
2095,Mowgli,(2018),6.5,51        ,"60,989"
2096,Mid90s,(2018),7.4,66        ,"60,970"
2097,Insidious: The Last Key,(2018),5.7,49        ,"58,777"
2098,Tully,(2018),6.9,75        ,"57,996"
2099,Leave No Trace,(2018),7.2,88        ,"57,660"
2100,Den skyldige,(2018),7.5,83        ,"56,999"
2101,Zimna wojna,(2018),7.5,90        ,"55,501"
2102,Enes Batur Hayal mi Gerçek mi?,(2018),4.5,,"55,080"
2103,Adrift,(I) (2018),6.6,56        ,"54,967"
2104,Truth or Dare,(I) (2018),5.2,35        ,"54,227"
2105,I Feel Pretty,(2018),5.6,48        ,"53,107"
2106,Durante la tormenta,(2018),7.4,,"52,968"
2107,Sanju,(2018),7.8,,"52,820"
2108,Hotel Artemis,(2018),6.1,58        ,"52,377"
2109,Extinction,(2018),5.8,40        ,"52,010"
2110,Can You Ever Forgive Me?,(2018),7.1,87        ,"51,311"
2111,Arctic,(2018),6.8,71        ,"50,909"
2112,Apostle,(2018),6.3,62        ,"50,802"
2113,The House with a Clock in Its Walls,(2018),6.1,57        ,"50,767"
2114,Set It Up,(2018),6.5,62        ,"50,194"
2115,How It Ends,(2018),5.0,36        ,"49,732"
2116,Mary Queen of Scots,(2018),6.3,60        ,"49,113"
2117,When We First Met,(2018),6.4,36        ,"48,011"
2118,If Beale Street Could Talk,(2018),7.1,87        ,"47,886"
2119,The Girl in the Spider's Web,(2018),6.1,43        ,"46,852"
2120,Race 3,(2018),2.0,,"45,887"
2121,Unsane,(2018),6.4,63        ,"45,422"
2122,The Old Man & the Gun,(2018),6.7,80        ,"44,968"
2123,Dragged Across Concrete,(2018),6.9,60        ,"44,682"
2124,The Guernsey Literary and Potato Peel Pie Society,(2018),7.3,65        ,"44,629"
2125,A Wrinkle in Time,(2018),4.2,53        ,"44,335"
2126,American Animals,(2018),7.0,68        ,"43,739"
2127,Anon,(I) (2018),6.1,54        ,"43,239"
2128,The Perfection,(2018),6.1,60        ,"41,740"
2129,Peter Rabbit,(2018),6.6,51        ,"41,622"
2130,Tumbbad,(2018),8.3,,"41,126"
2131,Operation Finale,(2018),6.6,58        ,"41,097"
2132,Under the Silver Lake,(2018),6.5,60        ,"40,606"
2133,Night School,(2018),5.6,43        ,"39,960"
2134,Summer of 84,(2018),6.7,57        ,"39,068"
2135,Ratsasan,(2018),8.4,,"38,779"
2136,Smallfoot,(2018),6.6,60        ,"38,584"
2137,Sierra Burgess Is a Loser,(2018),5.8,60        ,"38,423"
2138,Overboard,(2018),6.0,42        ,"37,846"
2139,Boy Erased,(2018),6.9,69        ,"37,746"
2140,Replicas,(2018),5.4,19        ,"37,725"
2141,Life of the Party,(I) (2018),5.6,46        ,"36,735"
2142,Stan & Ollie,(2018),7.2,75        ,"36,704"
2143,Hold the Dark,(2018),5.6,63        ,"36,624"
2144,White Boy Rick,(2018),6.5,59        ,"36,498"
2145,Arif V 216,(2018),7.1,,"35,935"
2146,Holmes & Watson,(2018),3.9,24        ,"35,812"
2147,The Hate U Give,(2018),7.4,81        ,"35,390"
2148,Braven,(2018),5.9,61        ,"35,332"
2149,Mute,(II) (2018),5.4,35        ,"34,626"
2150,High Life,(2018),5.8,77        ,"34,305"
2151,At Eternity's Gate,(2018),6.9,76        ,"33,931"
2152,Todos lo saben,(2018),6.9,68        ,"33,873"
2153,The Open House,(2018),3.2,,"33,853"
2154,Freaks,(2018),6.7,63        ,"33,732"
2155,On the Basis of Sex,(2018),7.1,59        ,"33,544"
2156,Winchester,(2018),5.4,28        ,"33,536"
2157,Badhaai ho,(2018),8.0,,"33,332"
2158,Slender Man,(2018),3.2,30        ,"33,205"
2159,22 July,(2018),6.8,69        ,"33,058"
2160,Dumplin',(2018),6.6,53        ,"33,034"
2161,Stree,(2018),7.6,,"32,956"
2162,The Nutcracker and the Four Realms,(2018),5.5,39        ,"32,943"
2163,Greta,(2018),6.0,54        ,"32,796"
2164,The 15:17 to Paris,(2018),5.3,45        ,"32,598"
2165,Unfriended: Dark Web,(2018),6.0,53        ,"31,975"
2166,The Darkest Minds,(2018),5.7,39        ,"31,636"
2167,Escape Plan 2: Hades,(2018),3.8,,"31,273"
2168,Padmaavat,(2018),7.1,63        ,"31,189"
2169,Cam,(2018),5.9,71        ,"30,910"
2170,The Titan,(2018),4.8,33        ,"30,909"
2171,Tau,(2018),5.8,43        ,"30,755"
2172,The Strangers: Prey at Night,(2018),5.2,48        ,"30,428"
2173,Blindspotting,(2018),7.4,77        ,"30,364"
2174,The Professor,(2018),6.7,37        ,"30,213"
2175,Ghostland,(2018),6.4,44        ,"30,019"
2176,Midnight Sun,(2018),6.6,38        ,"29,773"
2177,Raazi,(2018),7.8,,"29,761"
2178,"Game Over, Man!",(2018),5.4,32        ,"29,656"
2179,Gringo,(2018),6.1,46        ,"29,641"
2180,Destroyer,(2018),6.2,62        ,"28,901"
2181,Destination Wedding,(2018),6.0,46        ,"28,799"
2182,Gräns,(2018),7.0,75        ,"28,724"
2183,The Nightingale,(I) (2018),7.3,77        ,"28,604"
2184,96,(II) (2018),8.6,,"28,309"
2185,Wildlife,(2018),6.8,80        ,"28,258"
2186,Calibre,(2018),6.8,76        ,"27,860"
2187,Book Club,(I) (2018),6.1,53        ,"27,748"
2188,The Happytime Murders,(2018),5.4,27        ,"27,633"
2189,The Princess Switch,(2018),6.1,,"27,585"
2190,Prospect,(2018),6.3,68        ,"27,194"
2191,Zero,(III) (2018),5.5,,"27,117"
2192,Second Act,(2018),5.8,46        ,"26,836"
2193,The Clovehitch Killer,(2018),6.5,59        ,"26,452"
2194,Super Troopers 2,(2018),6.0,41        ,"26,242"
2195,Dogman,(2018),7.2,71        ,"26,194"
2196,Doragon bôru chô: Burorî,(2018),7.8,59        ,"26,028"
2197,Ölümlü Dünya,(2018),7.7,,"25,946"
2198,"Don't Worry, He Won't Get Far on Foot",(2018),6.8,67        ,"25,935"
2199,The Night Comes for Us,(2018),7.0,69        ,"25,357"
2200,Padman,(2018),8.0,,"25,197"
2201,The Outsider,(I) (2018),6.2,30        ,"24,991"
2202,Ahlat Agaci,(2018),8.1,86        ,"23,958"
2203,2.0,(2018),6.4,,"23,704"
2204,Parmanu: The Story of Pokhran,(2018),7.8,,"23,703"
2205,Welcome to Marwen,(2018),6.2,40        ,"23,416"
2206,Simmba,(2018),5.7,,"23,229"
2207,Rangasthalam,(2018),8.5,,"23,174"
2208,Nada a Perder,(2018),6.1,,"23,013"
2209,Skin,(V) (2018),6.9,58        ,"22,819"
2210,Colette,(I) (2018),6.7,74        ,"22,815"
2211,Bad Samaritan,(2018),6.4,42        ,"22,707"
2212,"Juliet, Naked",(2018),6.6,67        ,"22,259"
2213,The Possession of Hannah Grace,(2018),5.2,37        ,"22,250"
2214,Terminal,(I) (2018),5.3,27        ,"22,049"
2215,Sonu Ke Titu Ki Sweety,(2018),7.1,,"21,830"
2216,Early Man,(2018),6.1,68        ,"21,798"
2217,Beirut,(2018),6.4,69        ,"21,740"
2218,The Miseducation of Cameron Post,(2018),6.6,69        ,"21,658"
2219,Night Hunter,(2018),5.9,31        ,"21,408"
2220,The Week Of,(2018),5.2,41        ,"21,385"
2221,Mulk,(I) (2018),7.2,,"21,320"
2222,Look Away,(2018),5.8,,"21,161"
2223,Every Day,(2018),6.4,52        ,"21,156"
2224,Like Father,(2018),6.1,52        ,"21,139"
2225,Ben Is Back,(2018),6.7,66        ,"21,003"
2226,Life Itself,(2018),6.9,21        ,"20,859"
2227,Goosebumps 2: Haunted Halloween,(2018),5.6,53        ,"20,552"
2228,The Hurricane Heist,(2018),5.1,35        ,"20,506"
2229,Werk ohne Autor,(2018),7.7,68        ,"20,332"
2230,Traffik,(2018),5.9,37        ,"20,050"
2231,Fahrenheit 451,(2018),4.9,,"19,864"
2232,Batman Ninja,(2018),5.6,,"19,754"
2233,The Man Who Killed Don Quixote,(2018),6.3,58        ,"19,322"
2234,Thugs of Hindostan,(2018),4.1,,"19,305"
2235,Private Life,(2018),7.2,83        ,"19,260"
2236,A Private War,(2018),6.7,75        ,"19,031"
2237,Teen Titans Go! To the Movies,(2018),6.8,69        ,"18,918"
2238,Sarkar,(2018),7.4,,"18,849"
2239,Assassination Nation,(2018),6.0,56        ,"18,742"
2240,Occupation,(2018),4.7,45        ,"18,441"
2241,Kursk,(2018),6.6,55        ,"18,378"
2242,Thunder Road,(2018),7.0,79        ,"18,157"
2243,Müslüm,(2018),7.7,,"18,071"
2244,Vox Lux,(2018),5.9,67        ,"17,930"
2245,Lazzaro felice,(2018),7.5,87        ,"17,797"
2246,The Tale,(2018),7.2,90        ,"17,597"
2247,Ibiza,(2018),5.2,56        ,"17,263"
