Unnamed: 0,movie,year,imdb,metascore,votes
2311,"Extremely Wicked, Shockingly Evil and Vile",2019,6.7,52.0,"90,738"
2312,Pet Sematary,2019,5.7,57.0,"90,656"
2313,The Peanut Butter Falcon,2019,7.6,70.0,"88,793"
2314,I Am Mother,2019,6.7,64.0,"88,292"
2315,The Highwaymen,2019,6.9,58.0,"88,283"
2316,Hellboy,2019,5.2,31.0,"87,387"
2317,Polar,2019,6.3,19.0,"86,699"
2318,Portrait de la jeune fille en feu,2019,8.1,95.0,"85,066"
2319,Dark Waters,2019,7.6,73.0,"83,233"
2320,Richard Jewell,2019,7.5,68.0,"82,872"
2321,Crawl,2019,6.1,60.0,"81,770"
2322,Midway,2019,6.7,47.0,"81,393"
2323,Fighting with My Family,2019,7.1,68.0,"79,014"
2324,Anna,2019,6.6,40.0,"78,119"
2325,A Beautiful Day in the Neighborhood,2019,7.3,80.0,"76,232"
2326,Last Christmas,2019,6.5,50.0,"75,607"
2327,The Dead Don't Die,2019,5.4,53.0,"75,100"
2328,Dumbo,2019,6.3,51.0,"73,626"
2329,Scary Stories to Tell in the Dark,2019,6.2,61.0,"73,427"
2331,Annabelle Comes Home,2019,5.9,53.0,"71,988"
2332,Happy Death Day 2U,2019,6.2,57.0,"70,777"
2333,Fractured,2019,6.4,36.0,"70,322"
2334,Charlie's Angels,2019,4.9,52.0,"70,087"
2335,Isn't It Romantic,2019,5.9,60.0,"68,470"
2336,Cold Pursuit,2019,6.2,57.0,"67,392"
2337,Just Mercy,2019,7.6,68.0,"64,057"
2338,The Lego Movie 2: The Second Part,2019,6.6,65.0,"63,680"
2339,21 Bridges,2019,6.6,51.0,"63,555"
2340,The Farewell,2019,7.5,89.0,"61,777"
2341,Five Feet Apart,2019,7.2,53.0,"61,196"
2342,The Secret Life of Pets 2,2019,6.5,55.0,"59,826"
2343,Velvet Buzzsaw,2019,5.7,61.0,"59,733"
2344,Dolemite Is My Name,2019,7.3,76.0,"59,709"
2346,Guns Akimbo,2019,6.3,42.0,"57,562"
2347,The Hustle,2019,5.4,35.0,"57,240"
2348,Dolor y gloria,2019,7.5,87.0,"56,505"
2349,Motherless Brooklyn,2019,6.8,60.0,"55,407"
2351,Always Be My Maybe,2019,6.8,64.0,"54,514"
2352,Vivarium,2019,5.8,64.0,"54,129"
2353,In the Tall Grass,2019,5.4,46.0,"54,100"
2354,Captive State,2019,6.0,54.0,"53,795"
2355,Ma,2019,5.6,53.0,"51,892"
2356,Shaft,2019,6.4,40.0,"51,891"
2357,Downton Abbey,2019,7.4,64.0,"51,662"
2358,After,2019,5.4,30.0,"51,651"
2359,Child's Play,2019,5.7,48.0,"50,532"
2360,In the Shadow of the Moon,2019,6.2,48.0,"50,404"
2361,The Laundromat,2019,6.3,57.0,"49,885"
2362,Cats,2019,2.8,32.0,"49,692"
2364,Judy,2019,6.8,66.0,"49,271"
2365,The Curse of La Llorona,2019,5.3,41.0,"48,247"
2366,The Dirt,2019,7.0,39.0,"47,214"
2367,I See You,2019,6.8,65.0,"46,644"
2369,Togo,2019,8.0,69.0,"46,534"
2370,Stuber,2019,6.1,42.0,"46,333"
2371,Spies in Disguise,2019,6.8,54.0,"46,249"
2372,Official Secrets,2019,7.3,63.0,"45,535"
2373,Color Out of Space,2019,6.1,70.0,"44,817"
2374,The Professor and the Madman,2019,7.2,27.0,"44,225"
2375,The Lodge,2019,6.0,64.0,"44,177"
2376,The Silence,2019,5.3,25.0,"43,947"
2378,A Rainy Day in New York,2019,6.5,38.0,"41,744"
2379,The Report,2019,7.2,66.0,"41,466"
2380,Serenity,2019,5.3,37.0,"40,311"
2381,The Good Liar,2019,6.7,55.0,"39,488"
2382,Tolkien,2019,6.8,48.0,"39,198"
2383,Bad Education,2019,7.1,79.0,"39,130"
2384,Code 8,2019,6.1,48.0,"39,045"
2386,Gully Boy,2019,7.9,65.0,"37,952"
2387,The Vast of Night,2019,6.7,84.0,"37,545"
2388,The Addams Family,2019,5.8,46.0,"37,287"
2389,Abominable,2019,7.0,61.0,"37,213"
2390,The Art of Self-Defense,2019,6.6,65.0,"36,489"
2391,The Boy Who Harnessed the Wind,2019,7.6,68.0,"36,430"
2392,Late Night,2019,6.5,70.0,"36,321"
2393,Tenki no ko,2019,7.5,72.0,"36,105"
2394,Countdown,2019,5.4,31.0,"35,847"
2395,Honey Boy,2019,7.2,73.0,"35,844"
2397,IO,2019,4.7,40.0,"33,831"
2398,The Informer,2019,6.6,61.0,"33,689"
2399,The Aeronauts,2019,6.6,60.0,"32,308"
2400,Saint Maud,2019,6.7,83.0,"32,300"
2403,J'ai perdu mon corps,2019,7.5,81.0,"31,711"
2404,The Outpost,2019,6.8,71.0,"31,550"
2405,Between Two Ferns: The Movie,2019,6.1,59.0,"31,398"
2407,Yip Man 4,2019,7.0,62.0,"30,932"
2409,Queen & Slim,2019,7.1,74.0,"30,454"
2410,The Art of Racing in the Rain,2019,7.6,43.0,"29,946"
2411,Liu lang di qiu,2019,5.9,57.0,"29,939"
2412,Dora and the Lost City of Gold,2019,6.1,63.0,"29,897"
2415,Synchronic,2019,6.2,64.0,"28,343"
2416,The Angry Birds Movie 2,2019,6.4,60.0,"27,827"
2417,7500,2019,6.3,58.0,"27,778"
2418,What Men Want,2019,5.3,49.0,"27,578"
2419,Haunt,2019,6.3,69.0,"27,431"
2421,Bacurau,2019,7.3,82.0,"26,308"
2422,The Prodigy,2019,5.8,45.0,"26,003"
2424,Mosul,2019,7.3,71.0,"25,858"
2425,Harriet,2019,6.6,66.0,"25,746"
2426,Missing Link,2019,6.7,68.0,"25,327"
2427,Jexi,2019,6.0,39.0,"25,307"
2428,47 Meters Down: Uncaged,2019,5.0,43.0,"25,195"
2429,Jay and Silent Bob Reboot,2019,5.6,46.0,"24,655"
2430,Blinded by the Light,2019,6.9,71.0,"24,438"
2431,Close,2019,5.7,51.0,"24,288"
2432,Les misérables,2019,7.6,78.0,"24,072"
2433,Waves,2019,7.5,80.0,"23,947"
2434,A Dog's Journey,2019,7.4,43.0,"23,839"
2437,A Hidden Life,2019,7.4,78.0,"23,224"
2439,Paradise Hills,2019,5.3,49.0,"22,224"
2440,Black and Blue,2019,6.4,54.0,"22,221"
2441,Swallow,2019,6.5,65.0,"22,181"
2443,The Goldfinch,2019,6.3,40.0,"21,829"
2444,The Assistant,2019,6.3,79.0,"21,662"
2445,The Beach Bum,2019,5.5,55.0,"21,639"
2446,Someone Great,2019,6.1,63.0,"21,626"
2447,Sorry We Missed You,2019,7.6,82.0,"21,612"
2448,Let It Snow,2019,5.8,51.0,"21,577"
2449,"Where'd You Go, Bernadette",2019,6.5,51.0,"21,243"
2452,Noelle,2019,6.3,48.0,"21,063"
2453,Wine Country,2019,5.4,56.0,"20,905"
2454,Lady and the Tramp,2019,6.2,48.0,"20,845"
2455,The Aftermath,2019,6.3,43.0,"20,542"
2456,The Kitchen,2019,5.5,35.0,"20,453"
2459,Brittany Runs a Marathon,2019,6.8,72.0,"19,481"
2463,The Personal History of David Copperfield,2019,6.4,77.0,"18,997"
2465,The Last Black Man in San Francisco,2019,7.3,83.0,"18,703"
2466,Wounds,2019,4.1,51.0,"18,640"
2468,The Hole in the Ground,2019,5.6,63.0,"18,254"
2469,Boze Cialo,2019,7.7,77.0,"17,858"
2472,First Cow,2019,7.1,89.0,"17,581"
2473,J'accuse,2019,7.2,56.0,"17,538"
2474,Come to Daddy,2019,6.0,64.0,"17,521"
2475,A Dog's Way Home,2019,6.7,50.0,"17,492"
2476,Radioactive,2019,6.2,56.0,"17,257"
2478,The Intruder,2019,5.6,39.0,"17,015"
2479,Monos,2019,6.9,78.0,"16,750"
2480,Little Monsters,2019,6.3,59.0,"16,734"
2481,Cuck,2019,5.8,40.0,"16,554"
2483,The Kid Who Would Be King,2019,6.1,66.0,"16,508"
2485,The Best of Enemies,2019,7.3,49.0,"16,287"
2486,Black Christmas,2019,3.4,49.0,"16,000"
2487,Can You Keep a Secret?,2019,5.3,35.0,"15,817"
2488,Mine 9,2019,6.3,65.0,"15,622"
2490,Babyteeth,2019,7.2,77.0,"15,322"
2491,Avengement,2019,6.5,63.0,"15,282"
2493,La Belle Époque,2019,7.4,75.0,"15,141"
2495,The Wretched,2019,5.8,61.0,"14,932"
2499,"Yes, God, Yes",2019,6.1,71.0,"14,339"
2500,Tenet,2020,7.4,69.0,"462,477"
2501,Soul,2020,8.1,83.0,"306,133"
2502,Wonder Woman 1984,2020,5.4,60.0,"252,421"
2503,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.0,60.0,"226,583"
2504,The Invisible Man,2020,7.1,72.0,"214,281"
2505,A Quiet Place Part II,2020,7.2,71.0,"203,711"
2506,Extraction,2020,6.7,56.0,"190,896"
2507,The Trial of the Chicago 7,2020,7.8,76.0,"169,882"
2508,Enola Holmes,2020,6.6,68.0,"159,911"
2509,Promising Young Woman,2020,7.5,73.0,"157,700"
2510,The Old Guard,2020,6.6,70.0,"156,069"
2511,Bad Boys for Life,2020,6.5,59.0,"154,672"
2512,Nomadland,2020,7.3,93.0,"149,332"
2513,Palm Springs,2020,7.4,83.0,"147,397"
2514,Mulan,2020,5.7,66.0,"143,225"
2515,Druk,2020,7.7,79.0,"140,341"
2516,Onward,2020,7.4,61.0,"139,874"
2517,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68.0,"136,061"
2518,The Father,2020,8.3,88.0,"131,840"
2520,I Care a Lot,2020,6.3,66.0,"127,026"
2521,The Devil All the Time,2020,7.1,55.0,"125,676"
2522,Sonic the Hedgehog,2020,6.5,47.0,"119,970"
2523,Love and Monsters,2020,7.0,63.0,"119,484"
2524,Greenland,2020,6.4,64.0,"109,891"
2526,The Hunt,2020,6.5,50.0,"102,818"
2528,Greyhound,2020,7.0,64.0,"91,962"
2529,Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50.0,"90,722"
2530,Hamilton,2020,8.4,90.0,"85,640"
2531,Spenser Confidential,2020,6.2,49.0,"84,949"
2532,Project Power,2020,6.0,51.0,"84,604"
2533,News of the World,2020,6.8,73.0,"83,512"
2534,The Midnight Sky,2020,5.6,58.0,"81,343"
2536,I'm Thinking of Ending Things,2020,6.6,78.0,"80,496"
2537,Underwater,2020,5.8,48.0,"78,349"
2539,Bloodshot,2020,5.7,44.0,"75,421"
2540,The New Mutants,2020,5.3,43.0,"73,875"
2541,Minari,2020,7.5,89.0,"73,758"
2543,Mank,2020,6.8,79.0,"71,071"
2544,Run,2020,6.7,67.0,"67,372"
2545,Unhinged,2020,6.0,40.0,"63,758"
2546,Holidate,2020,6.1,44.0,"62,231"
2547,Boss Level,2020,6.8,56.0,"61,869"
2548,Dolittle,2020,5.6,26.0,"61,666"
2549,The King of Staten Island,2020,7.1,67.0,"60,499"
2551,Monster Hunter,2020,5.3,47.0,"55,092"
2552,The Courier,2020,7.2,65.0,"53,307"
2553,Freaky,2020,6.3,67.0,"53,150"
2554,Ava,2020,5.4,39.0,"52,689"
2555,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.3,72.0,"51,254"
2556,Ma Rainey's Black Bottom,2020,6.9,87.0,"50,137"
2557,Da 5 Bloods,2020,6.5,82.0,"50,016"
2558,Fantasy Island,2020,4.9,22.0,"49,266"
2559,Emma.,2020,6.7,71.0,"48,236"
2560,Honest Thief,2020,6.0,46.0,"47,849"
2561,Pieces of a Woman,2020,7.0,66.0,"47,655"
2562,Hubie Halloween,2020,5.2,53.0,"47,466"
2563,The Call of the Wild,2020,6.7,48.0,"47,085"
2564,Bill & Ted Face the Music,2020,5.9,65.0,"44,213"
2565,The Way Back,2020,6.7,66.0,"43,981"
2566,Retfærdighedens ryttere,2020,7.6,81.0,"43,835"
2567,Hillbilly Elegy,2020,6.7,38.0,"40,946"
2568,Rebecca,2020,6.0,46.0,"40,271"
2569,The Croods: A New Age,2020,7.0,56.0,"39,856"
2570,The Night House,2020,6.5,68.0,"39,565"
2571,His House,2020,6.5,72.0,"38,503"
2572,The Wrong Missy,2020,5.7,33.0,"38,329"
2574,The Witches,2020,5.3,47.0,"37,866"
2575,Happiest Season,2020,6.6,69.0,"36,985"
2576,The Babysitter: Killer Queen,2020,5.8,22.0,"36,965"
2577,To All the Boys: P.S. I Still Love You,2020,6.0,54.0,"36,831"
2579,The Half of It,2020,6.9,74.0,"35,242"
2581,Escape from Pretoria,2020,6.8,56.0,"34,234"
2582,Possessor,2020,6.5,72.0,"32,634"
2584,"Quo vadis, Aida?",2020,8.0,97.0,"31,301"
2585,One Night in Miami...,2020,7.1,83.0,"31,134"
2586,Bando,2020,5.5,51.0,"31,017"
2587,On the Rocks,2020,6.4,73.0,"30,905"
2588,Mignonnes,2020,3.3,67.0,"30,098"
2589,The Kissing Booth 2,2020,5.8,39.0,"29,997"
2590,WolfWalkers,2020,8.0,87.0,"29,939"
2591,Gretel & Hansel,2020,5.4,64.0,"29,818"
2592,My Spy,2020,6.3,46.0,"29,380"
2594,All the Bright Places,2020,6.5,61.0,"29,227"
2595,The Christmas Chronicles: Part Two,2020,6.0,51.0,"29,198"
2596,After We Collided,2020,5.3,14.0,"29,187"
2598,The Rental,2020,5.7,62.0,"28,086"
2599,Artemis Fowl,2020,4.2,31.0,"27,302"
2600,Host,2020,6.5,73.0,"27,139"
2602,The Banker,2020,7.3,59.0,"26,533"
2603,The Prom,2020,5.9,55.0,"26,501"
2604,Never Rarely Sometimes Always,2020,7.4,92.0,"26,217"
2606,Relic,2020,6.0,77.0,"25,631"
2607,Scoob!,2020,5.6,43.0,"25,422"
2608,The Lovebirds,2020,6.1,59.0,"25,359"
2609,Antebellum,2020,5.7,43.0,"25,240"
2610,Shadow in the Cloud,2020,4.9,66.0,"25,218"
2612,The Grudge,2020,4.3,41.0,"24,970"
2613,Let Him Go,2020,6.7,63.0,"24,165"
2614,Fatman,2020,5.9,40.0,"23,899"
2615,Sputnik,2020,6.4,61.0,"22,983"
2616,Run Hide Fight,2020,6.4,13.0,"22,568"
2617,An American Pickle,2020,5.7,58.0,"22,521"
2618,The Dry,2020,6.9,69.0,"22,448"
2619,Trolls World Tour,2020,6.1,51.0,"22,223"
2621,Over the Moon,2020,6.4,60.0,"21,377"
2622,Lost Girls,2020,6.1,67.0,"21,180"
2623,You Should Have Left,2020,5.4,46.0,"20,169"
2624,Love Wedding Repeat,2020,5.5,41.0,"20,117"
2625,Capone,2020,4.7,46.0,"20,059"
2628,The War with Grandpa,2020,5.6,34.0,"19,680"
2630,Uncle Frank,2020,7.3,58.0,"19,501"
2631,Archive,2020,6.3,67.0,"19,105"
2634,Jingle Jangle: A Christmas Journey,2020,6.5,69.0,"18,307"
2635,Shiva Baby,2020,7.1,79.0,"18,254"
2636,The Willoughbys,2020,6.3,68.0,"18,058"
2637,Alone,2020,6.2,70.0,"17,997"
2638,The Wolf of Snow Hollow,2020,6.2,67.0,"17,875"
2641,Irresistible,2020,6.2,47.0,"17,699"
2643,The Rhythm Section,2020,5.4,45.0,"17,570"
2644,The Kid Detective,2020,7.0,74.0,"17,410"
2645,Horse Girl,2020,5.9,61.0,"17,327"
2647,The SpongeBob Movie: Sponge on the Run,2020,5.9,65.0,"17,097"
2648,Kajillionaire,2020,6.4,78.0,"17,080"
2650,"Love, Guaranteed",2020,5.6,39.0,"17,005"
2651,Minamata,2020,7.5,55.0,"16,987"
2653,Dangerous Lies,2020,5.3,51.0,"16,687"
2654,Ammonite,2020,6.5,72.0,"16,611"
2656,Becky,2020,5.9,54.0,"16,062"
2657,Brahms: The Boy II,2020,4.7,29.0,"16,016"
2660,The Dark and the Wicked,2020,6.1,72.0,"15,294"
2662,A Fall from Grace,2020,5.8,34.0,"14,913"
2663,The Boys in the Band,2020,6.8,70.0,"14,884"
2664,The Night Clerk,2020,5.5,44.0,"14,806"
2665,The Last Thing He Wanted,2020,4.3,35.0,"14,784"
2666,Sala samobójców. Hejter,2020,7.1,61.0,"14,769"
2667,We Can Be Heroes,2020,4.8,51.0,"14,269"
2670,La vita davanti a sé,2020,6.8,66.0,"13,946"
2671,Bruised,2020,6.2,52.0,"13,764"
2672,Black Box,2020,6.2,62.0,"13,723"
2673,Like a Boss,2020,4.6,33.0,"13,552"
2675,Coffee & Kareem,2020,5.1,35.0,"13,423"
2676,The Nest,2020,6.3,80.0,"13,284"
2677,The Turning,2020,3.8,35.0,"13,198"
2678,The Secret: Dare to Dream,2020,6.5,32.0,"13,189"
2679,What Is Life Worth,2020,6.8,67.0,"12,966"
2680,Work It,2020,6.1,58.0,"12,779"
2681,Dette de Sang,2020,4.8,22.0,"12,754"
2682,Inheritance,2020,5.5,31.0,"12,647"
2684,Come Play,2020,5.7,58.0,"12,191"
2685,The Craft: Legacy,2020,4.4,54.0,"12,191"
2686,Zola,2020,6.5,76.0,"12,182"
2687,Chemical Hearts,2020,6.3,57.0,"12,144"
2688,Godmothered,2020,6.1,49.0,"12,115"
2689,Spontaneous,2020,6.5,78.0,"12,061"
2691,Downhill,2020,4.9,49.0,"12,019"
2692,The One and Only Ivan,2020,6.6,58.0,"11,981"
2693,Arkansas,2020,6.0,55.0,"11,960"
2695,Psycho Goreman,2020,6.2,67.0,"11,851"
2696,Survive the Night,2020,4.1,26.0,"11,728"
2700,I Still Believe,2020,6.5,41.0,"11,419"
2701,Operation Christmas Drop,2020,5.8,47.0,"11,310"
2702,The Last Days of American Crime,2020,3.7,15.0,"11,293"
2705,Shirley,2020,6.1,76.0,"11,143"
2707,Black Bear,2020,6.5,79.0,"10,642"
2708,Let Them All Talk,2020,6.1,72.0,"10,514"
2709,Force of Nature,2020,4.5,29.0,"10,476"
2710,Supernova,2020,6.9,73.0,"10,451"
2712,The Postcard Killings,2020,5.7,29.0,"10,274"
2714,The Sleepover,2020,5.6,46.0,"10,156"
2715,Desperados,2020,5.2,41.0,"10,093"
2717,The High Note,2020,6.4,58.0,"10,082"
2719,Superintelligence,2020,5.4,41.0,"9,870"
2722,Vampires vs. the Bronx,2020,5.7,76.0,"9,692"
2723,Songbird,2020,4.7,27.0,"9,680"
2724,Fatale,2020,5.4,42.0,"9,670"
2725,Penguin Bloom,2020,6.8,54.0,"9,669"
2726,Sergio,2020,6.2,55.0,"9,587"
2727,Ghosts of War,2020,5.6,38.0,"9,585"
2732,Hunter Hunter,2020,6.4,61.0,"9,363"
2734,Clouds,2020,7.5,55.0,"9,328"
2737,Balle perdue,2020,6.3,78.0,"9,210"
2740,Words on Bathroom Walls,2020,7.1,61.0,"9,073"
2741,Wander,2020,4.8,54.0,"9,012"
2742,2067,2020,4.9,39.0,"9,002"
2744,Black Is King,2020,5.8,84.0,"8,754"
2746,Tesla,2020,5.1,67.0,"8,680"
2747,I'm Your Woman,2020,6.2,63.0,"8,666"
2748,Mortal,2020,6.0,20.0,"8,662"
